[HEADER]
VERSION=S255W01
ITEMNAME=SPL
COMMENT=
[DATA]
MODEL=PP
MEMO=B02_Sidewall_study
DATAFILE=C:\FOS4CHDAT\VDDS\35mm Sidewall\PP\20220817-001.M10
BEGIN_RECORD=1
END_RECORD=10
FREQ     ,SPL_1       ,SPL_2       ,SPL_3       ,SPL_4       ,SPL_5       ,SPL_6       ,SPL_7       ,SPL_8       ,SPL_9       ,SPL_10      
   298.54,   94.03,   94.11,   93.49,   94.33,   94.22,   94.01,   94.10,   93.58,   94.31,   94.25
   302.87,   94.06,   94.15,   93.52,   94.37,   94.27,   94.04,   94.13,   93.62,   94.41,   94.29
   307.26,   94.10,   94.19,   93.57,   94.41,   94.30,   94.09,   94.19,   93.66,   94.44,   94.36
   311.71,   94.15,   94.23,   93.60,   94.45,   94.34,   94.15,   94.21,   93.68,   94.45,   94.38
   316.23,   94.18,   94.27,   93.63,   94.50,   94.38,   94.16,   94.24,   93.72,   94.51,   94.42
   320.81,   94.22,   94.31,   93.67,   94.53,   94.42,   94.20,   94.31,   93.77,   94.51,   94.46
   325.46,   94.26,   94.35,   93.71,   94.58,   94.46,   94.24,   94.36,   93.78,   94.54,   94.46
   330.18,   94.31,   94.39,   93.75,   94.63,   94.50,   94.24,   94.39,   93.78,   94.62,   94.54
   334.97,   94.34,   94.43,   93.78,   94.67,   94.55,   94.33,   94.41,   93.87,   94.67,   94.58
   339.82,   94.39,   94.48,   93.83,   94.72,   94.60,   94.39,   94.49,   93.92,   94.74,   94.63
   344.75,   94.44,   94.53,   93.87,   94.76,   94.64,   94.42,   94.54,   93.96,   94.78,   94.67
   349.74,   94.48,   94.57,   93.91,   94.82,   94.69,   94.46,   94.56,   94.03,   94.80,   94.71
   354.81,   94.54,   94.62,   93.96,   94.86,   94.73,   94.53,   94.60,   94.03,   94.85,   94.77
   359.96,   94.57,   94.67,   94.00,   94.91,   94.78,   94.58,   94.67,   94.06,   94.92,   94.81
   365.17,   94.63,   94.72,   94.05,   94.97,   94.83,   94.61,   94.71,   94.12,   94.99,   94.87
   370.47,   94.68,   94.78,   94.10,   95.02,   94.88,   94.64,   94.75,   94.15,   95.03,   94.93
   375.84,   94.73,   94.83,   94.14,   95.08,   94.94,   94.70,   94.82,   94.22,   95.07,   94.97
   381.29,   94.77,   94.88,   94.19,   95.12,   94.99,   94.76,   94.90,   94.27,   95.11,   95.02
   386.81,   94.83,   94.93,   94.23,   95.18,   95.04,   94.81,   94.92,   94.32,   95.16,   95.06
   392.42,   94.89,   94.99,   94.29,   95.24,   95.10,   94.87,   94.96,   94.38,   95.23,   95.11
   398.11,   94.94,   95.04,   94.33,   95.30,   95.16,   94.93,   95.03,   94.40,   95.31,   95.19
   403.88,   95.00,   95.09,   94.38,   95.35,   95.21,   94.97,   95.09,   94.46,   95.37,   95.27
   409.73,   95.05,   95.15,   94.43,   95.40,   95.27,   95.02,   95.15,   94.53,   95.40,   95.31
   415.67,   95.11,   95.21,   94.49,   95.47,   95.33,   95.08,   95.23,   94.55,   95.45,   95.36
   421.70,   95.17,   95.27,   94.54,   95.52,   95.38,   95.15,   95.29,   94.63,   95.51,   95.41
   427.81,   95.23,   95.32,   94.59,   95.59,   95.44,   95.19,   95.31,   94.69,   95.56,   95.45
   434.01,   95.28,   95.39,   94.65,   95.64,   95.51,   95.26,   95.36,   94.72,   95.65,   95.52
   440.30,   95.34,   95.45,   94.71,   95.71,   95.57,   95.32,   95.44,   94.80,   95.73,   95.61
   446.68,   95.41,   95.51,   94.77,   95.77,   95.63,   95.38,   95.49,   94.84,   95.79,   95.68
   453.16,   95.47,   95.57,   94.83,   95.84,   95.70,   95.43,   95.57,   94.89,   95.83,   95.74
   459.73,   95.54,   95.64,   94.90,   95.90,   95.76,   95.50,   95.65,   94.96,   95.89,   95.80
   466.39,   95.61,   95.71,   94.96,   95.97,   95.83,   95.57,   95.72,   95.01,   95.96,   95.86
   473.15,   95.68,   95.78,   95.01,   96.05,   95.90,   95.63,   95.76,   95.10,   96.02,   95.91
   480.01,   95.75,   95.86,   95.08,   96.12,   95.98,   95.68,   95.82,   95.16,   96.12,   95.99
   486.97,   95.82,   95.92,   95.14,   96.19,   96.04,   95.77,   95.89,   95.21,   96.19,   96.08
   494.03,   95.88,   95.98,   95.21,   96.25,   96.11,   95.85,   95.95,   95.29,   96.25,   96.14
   501.19,   95.95,   96.05,   95.27,   96.32,   96.17,   95.91,   96.04,   95.36,   96.31,   96.20
   508.45,   96.01,   96.12,   95.34,   96.39,   96.25,   95.99,   96.10,   95.41,   96.36,   96.26
   515.82,   96.09,   96.19,   95.41,   96.46,   96.32,   96.07,   96.18,   95.48,   96.45,   96.34
   523.30,   96.16,   96.27,   95.49,   96.54,   96.39,   96.12,   96.25,   95.55,   96.53,   96.42
