S265Swp
IMP=ohm,,MAVE=0
MEMO=20220829_102
DATE=2022/09/06 14:42:04
FREQ , SPL, Imp, Phs, 2nd, 3rd
 5871.51, 75.830, 21.018,-111.400, 12.200, 11.550
 5956.62, 74.760, 20.945,-111.200, 12.710, 12.040
 6042.96, 74.100, 20.897,-117.000, 11.210, 12.040
 6130.56, 74.630, 20.849,-119.800, 12.410, 11.500
 6219.42, 74.780, 20.825,-116.800, 11.280, 11.710
 6309.57, 74.260, 20.801,-117.000, 11.330, 11.200
 6401.03, 74.160, 20.801,-119.200, 10.790, 11.460
 6493.82, 74.390, 20.777,-121.200, 11.420, 10.740
 6587.95, 74.950, 20.801,-121.400, 10.550, 10.620
 6683.44, 75.490, 20.801,-119.600, 10.810, 11.280
 6780.32, 76.150, 20.825,-115.800, 11.360, 11.240
 6878.60, 76.560, 20.873,-107.200, 12.380, 11.220
 6978.31, 76.020, 20.897,-94.800, 11.850, 11.890
 7079.46, 74.110, 20.873,-87.600, 11.670, 11.850
 7182.08, 71.870, 20.849,-92.000, 11.870, 11.050
 7286.18, 71.210, 20.825,-102.000, 10.570, 11.770
 7391.80, 71.560, 20.801,-107.800, 12.080, 11.850
 7498.94, 71.800, 20.825,-109.200, 11.380, 12.000
 7607.64, 71.830, 20.825,-111.800, 12.090, 11.240
 7717.92, 72.340, 20.825,-113.200, 12.450, 11.500
 7829.79, 72.700, 20.849,-111.200, 12.070, 12.550
 7943.28, 72.910, 20.849,-109.600, 11.970, 11.940
 8058.42, 72.760, 20.873,-105.200, 12.810, 12.020
 8175.23, 72.180, 20.897,-105.000, 12.770, 12.490
 8293.73, 71.930, 20.897,-105.000, 11.790, 12.930
 8413.95, 71.590, 20.921,-107.000, 12.340, 12.650
 8535.91, 71.540, 20.945,-109.400, 12.170, 12.560
 8659.64, 71.700, 20.945,-111.800, 11.960, 11.580
 8785.17, 72.170, 20.970,-112.000, 12.370, 12.740
 8912.51, 72.130, 20.994,-111.400, 12.570, 18.950
 9041.70, 72.240, 20.994,-113.200, 12.680, 17.460
 9172.76, 72.730, 21.018,-115.000, 11.980, 18.560
 9305.72, 73.620, 21.042,-113.400, 12.100, 18.320
 9440.61, 73.820, 21.066,-107.800, 11.950, 17.850
 9577.45, 73.730, 21.091,-106.600, 12.000, 19.190
 9716.28, 74.050, 21.091,-105.000, 11.510, 17.890
 9857.12, 74.210, 21.115,-100.400, 12.050, 16.230
10000.00, 73.920, 21.139,-96.400, 11.320, 19.570
10144.95, 73.550, 21.164,-96.200, 11.780, 20.480
10292.01, 73.700, 21.188,-95.200, 11.730, 17.940
10441.19, 73.690, 21.188,-91.600, 12.160, 19.990
10592.54, 73.310, 21.237,-90.800, 11.950, 18.830
10746.08, 73.210, 21.237,-88.800, 12.100, 17.940
10901.84, 72.880, 21.261,-87.800, 11.860, 19.310
11059.87, 72.320, 21.286,-89.000, 12.100, 19.340
11220.18, 72.640, 21.310,-91.400, 12.620, 15.950
11382.82, 72.810, 21.335,-91.400, 12.070, 16.400
11547.82, 72.950, 21.359,-90.000, 12.430, 16.510
11715.21, 73.310, 21.384,-90.200, 12.570, 16.070
11885.02, 73.310, 21.409,-86.800, 12.630, 16.130
12057.30, 73.270, 21.433,-87.200, 12.550, 16.290
12232.07, 73.690, 21.458,-87.600, 13.980, 16.240
12409.38, 74.360, 21.483,-84.600, 13.010, 16.110
12589.25, 74.590, 21.532,-79.000, 13.410, 15.870
12771.74, 74.500, 21.557,-73.600, 13.670, 15.190
12956.87, 73.940, 21.582,-68.600, 14.130, 14.890
13144.68, 73.390, 21.607,-68.000, 15.270, 15.230
13335.21, 73.230, 21.632,-67.800, 19.650, 15.130
13528.51, 72.880, 21.657,-66.400, 18.230, 15.410
13724.61, 72.810, 21.682,-67.600, 18.520, 15.210
13923.55, 72.950, 21.732,-66.400, 19.240, 14.790
